Strike,Expiry,Theoretical_Price,Market_Price,Price_Deviation,Implied_Vol,Theoretical_Vol,Moneyness
85,0.083,15.354963799117343,15.367520740991342,0.01255694187399857,0.23776697588351475,0.2,0.85
85,0.25,16.203863304442038,16.210695123107023,0.006831818664983339,0.20170891133470376,0.2,0.85
85,0.5,17.652310373720013,17.65943545554467,0.007125081824658562,0.20066790279219163,0.2,0.85
90,0.083,10.432916169731712,10.444855656876967,0.011939487145256281,0.20631897971281735,0.2,0.9
90,0.25,11.670086691861101,11.680506318270112,0.010419626409011395,0.20110685636182302,0.2,0.9
90,0.5,13.498517482637212,13.50384951655768,0.005332033920469241,0.20030911241747232,0.2,0.9
95,0.083,5.894797548412058,5.906856915891986,0.012059367479928088,0.201707842789037,0.2,0.95
95,0.25,7.714369430203547,7.72445649994051,0.010087069736963113,0.2006402800453233,0.2,0.95
95,0.5,9.872742400408974,9.878605373844115,0.005862973435141356,0.2002503196357391,0.2,0.95
100,0.083,2.5066208017644627,2.5176652312716055,0.011044429507142878,0.2009658329557883,0.2,1.0
100,0.25,4.614997129602855,4.623575707176711,0.008578577573855804,0.20043670216695025,0.2,1.0
100,0.5,6.888728577680624,6.89257915548288,0.0038505778022565607,0.2001407443933363,0.2,1.0
105,0.083,0.740158599619896,0.7500861482683989,0.009927548648502843,0.20113888404999966,0.2,1.05
105,0.25,2.477901874073254,2.486486408660911,0.008584534587657226,0.20045189108208641,0.2,1.05
105,0.5,4.581680167540007,4.588343939255351,0.00666377171534327,0.20023735029314016,0.2,1.05
110,0.083,0.1461405803072111,0.15937129863579033,0.013230718328579211,0.20375836191019256,0.2,1.1
110,0.25,1.1911316636130742,1.2013604419333728,0.010228778320298493,0.20069326813961036,0.2,1.1
110,0.5,2.9064713215924165,2.914263517764776,0.0077921961723593815,0.2003024663575663,0.2,1.1
115,0.083,0.019269083341627802,0.030787267415391634,0.011518184073763833,0.21262609706198465,0.2,1.15
115,0.25,0.5136885642348599,0.5247579283152769,0.011069364080417043,0.2011662634577003,0.2,1.15
115,0.5,1.7616039115315871,1.767224893003799,0.005620981472211937,0.20026205450401105,0.2,1.15
